"epsilon";"function calls";"iterations";"x";"y";"f(x, y)";
"0,001";"57";"3";"1,000";"1,000";"0,000";
"0,0001";"80";"3";"1,0000";"1,0000";"0,0000";
"0,00001";"104";"3";"1,00000";"1,00000";"0,00000";
"0,000001";"91";"2";"1,000000";"1,000000";"0,000000";
"0,0000001";"153";"3";"1,0000000";"1,0000000";"0,0000000";
