"i";"xi";"yi";"f(x, y)";"si1";"si2";"lambdai";"|yi-y(i-1)|";"|yi-y(i-1)|";"|fi-f(i-1)|";angle((xi, yi), si)";"gi1";"gi2";
"0";"-0,1";"0,1";"2,02";"1,4000000000000001";"18";"0";"0";"0";"0";0,8630196721348419";"1,4000000000000001";"18";
"1";"-0,10682437481927258";"0,012258038037924038";"1,2251318683232209";"-2,1569866850393473";"0,43272818601258667";"-0,004874553442337554";"0,006824374819272576";"0,08774196196207597";"0,7948681316767792";0,083739015386145";"-2,177474128669728";"0,16931819647912003";
"2";"0,06846772101988512";"-0,02290853539571748";"0,9439083185836844";"-1,1072804914009005";"-5,51927284347486";"-0,08126712003136916";"0,1752920958391577";"0,03516657343364152";"0,28122354973953645";1,4459085764021056";"-1,1072804914009005";"-5,51927284347486";
"3";"0,07456318319377442";"0,007474478760173497";"0,8567999518148786";"-2,040313588137758";"-0,27664180369273983";"-0,0055048943977848794";"0,006095462173889305";"0,030383014155890977";"0,08710836676880584";3,106736401308059";"-1,9079833792200105";"0,38296209443702667";
"4";"0,2287744221109175";"0,028383654453439572";"0,6521686952808119";"0,649581328843629";"-4,790816351748937";"-0,07558212610733789";"0,15421123891714308";"0,020909175693266075";"0,20463125653406666";1,5594668506519371";"0,649581328843629";"-4,790816351748937";
"5";"0,2258413540117571";"0,05001572727681588";"0,5994193401583859";"-1,3987661699433882";"-0,6420415694716894";"-0,004515320821153851";"0,0029330680991604247";"0,021632072823376307";"0,052749355122425956";2,929221196440112";"-1,4590114988891367";"-0,19771798100958193";
"6";"0,3735916176216798";"0,11783393247533733";"0,4396361536582778";"1,9954524072097728";"-4,347352856369219";"-0,10562899416984224";"0,14775026360992272";"0,06781820519852144";"0,15978318650010814";1,4460122505746178";"1,9954524072097728";"-4,347352856369219";
"7";"0,36688993136887377";"0,13243442846730402";"0,4013008967212889";"-0,8524759927034798";"-0,641133753714819";"-0,0033584796252680077";"0,006701686252806022";"0,014600495991966698";"0,038335256936988915";2,8431685821899837";"-0,947202991431436";"-0,43475865451057527";
"8";"0,5060608846644875";"0,23710270822908125";"0,2800565131300923";"2,857154306320841";"-3,7989821516644984";"-0,16325498252948703";"0,13917095329561371";"0,10466827976177721";"0,12124438359119666";1,364115627204448";"2,857154306320841";"-3,7989821516644984";
"9";"0,4988473835497226";"0,24669405648961396";"0,25161819904386556";"-0,5074612802102855";"-0,5172329374699622";"-0,0025247152730976446";"0,0072135011147649334";"0,009591348260532711";"0,028438314086226713";2,805919137430731";"-0,5723675125312238";"-0,43093111695801656";
"10";"0,6271817997931888";"0,3774996759145961";"0,16413891480912585";"3,2325361301773308";"-3,1714668154454895";"-0,2528949916933288";"0,12833441624346614";"0,13080561942498214";"0,08747928423473961";1,3176764963744931";"3,2325361301773308";"-3,1714668154454895";
"11";"0,6208334240473824";"0,38372811767023374";"0,14405834367999237";"-0,29866479686759134";"-0,37653029952565753";"-0,001963899393587931";"0,0063483757458063375";"0,006228441755637644";"0,020080571129133473";2,7949903314119324";"-0,3346707752006084";"-0,34120454883264095";
"12";"0,7352547132466954";"0,5279804123704674";"0,0860141873386257";"3,1818049337459913";"-2,5238161962025885";"-0,38310939353873724";"0,11442128919931308";"0,14425229470023374";"0,05804415634136667";1,2933476959071";"3,1818049337459913";"-2,5238161962025885";
"13";"0,7301979814662534";"0,5319914255636322";"0,07293656972707403";"-0,17177318648741655";"-0,2538247367157851";"-0,0015892651767588704";"0,005056731780442069";"0,004011013193164807";"0,01307761761155167";2,795376215291062";"-0,18979055121623611";"-0,23953331475172757";
"14";"0,829676696416508";"0,6789885160142";"0,03779891129902474";"2,7706093314572984";"-1,8749809124820827";"-0,5791283085823296";"0,09947871495025461";"0,14699709045056775";"0,03513765842804929";1,2807903095397024";"2,7706093314572984";"-1,8749809124820827";
"15";"0,8259774524779996";"0,681491940692868";"0,030339619759198518";"-0,09324199966882976";"-0,15481906614558902";"-0,0013351734207011543";"0,003699243938508379";"0,0025034246786680737";"0,007459291539826222";2,802722762130735";"-0,10130537398933437";"-0,14936226183561718";
"16";"0,9050873390072305";"0,8128460386191203";"0,013024236797541538";"2,1044091123370223";"-1,2674105224138144";"-0,8484361855194845";"0,07910988652923095";"0,1313540979262523";"0,01731538296165699";1,2738392741496012";"2,1044091123370223";"-1,2674105224138144";
"17";"0,9026253430863782";"0,8143288109174985";"0,009498121102497495";"-0,045883475671192504";"-0,08261299678109231";"-0,0011699226668516497";"0,002461995920852242";"0,0014827722983782124";"0,003526115695044043";2,8117951310265483";"-0,048993711259028405";"-0,08073981286067511";
"18";"0,9576343138195289";"0,9133722215491428";"0,0031573895257889775";"1,3292185478343082";"-0,7382514910914351";"-1,198884128293871";"0,05500897073315066";"0,09904341063164422";"0,006340731576708517";1,2687273869184597";"1,3292185478343082";"-0,7382514910914351";
"19";"0,9562111815987702";"0,914162632942143";"0,001920600277501123";"-0,01885728601435533";"-0,03596447035758428";"-0,0010706532970650143";"0,0014231322207587725";"0,000790411393000208";"0,0012367892482878545";2,81663930890597";"-0,019804879426212896";"-0,03543817447464459";
"20";"0,9895111148300478";"0,9776720086123282";"0,0003232461436451856";"0,5569908271367792";"-0,29204755197518306";"-1,7658921440724666";"0,033299933231277674";"0,06350937567018518";"0,0015973541338559372";1,262302332737447";"0,5569908271367792";"-0,29204755197518306";
"21";"0,9889452310945602";"0,9779687189917455";"0,000122401085585436";"-0,004583212204740704";"-0,008863748573198993";"-0,001015965987081987";"0,0005658837354876303";"0,00029671037941734476";"0,00020084505805974961";2,827827141610147";"-0,004723440398438639";"-0,00879022258553075";
"22";"0,9971525354761401";"0,9938413164740945";"0,000030373479162981986";"0,1825126391840266";"-0,09437250648010043";"-1,7907319179091319";"0,008207304381579862";"0,015872597482348965";"0,000092027606422454";1,2609482424575482";"0,1825126391840266";"-0,09437250648010043";
"23";"0,9969693871400385";"0,9939360176828045";"0,000009198873560362717";"-0,001267261122351905";"-0,002404765741362902";"-0,001003483029561725";"0,000183148336101693";"0,00009470120870998469";"0,00002117460560261927";2,8396680374366956";"-0,0012992167639302998";"-0,00238824231588719";
"24";"0,9984467777496588";"0,9967395269690618";"0,000004859878933651015";"0,05937277227004323";"-0,031288205922974655";"-1,1658138828393265";"0,0014773906096203972";"0,0028035092862572766";"0,0000043389946267117026";1,269539636119598";"0,05937277227004323";"-0,031288205922974655";
"25";"0,9983873393591537";"0,9967708497544187";"0,0000026048083673133344";"-0,0006301149962615784";"-0,0013004187910860918";"-0,001001105190689539";"0,000059438390505168196";"0,00003132278535685311";"0,0000022550705663376802";2,8065938504535715";"-0,0006576135189988452";"-0,001285927646255125";
"26";"0,999547466238879";"0,9991650965242775";"0,0000006942166069348869";"-0,028876107837279452";"0,013991851942907196";"-1,8411351683554753";"0,001160126879725371";"0,0023942467698589154";"0,0000019105917603784473";1,9051762619255825";"-0,028876107837279452";"0,013991851942907196";
"27";"0,9995763227653779";"0,9991511141604273";"0,00000017979510768604377";"-0,00016732688621007188";"-0,0003402210600009656";"-0,0009993218844281098";"0,000028856526498899413";"0,000013982363850225129";"0,0000005144214992488432";2,813062467475164";"-0,000163295321357948";"-0,00034217454552010196";
"28";"0,999962287295035";"0,9999358850025614";"0,00000001421157414800088";"-0,004598850910154217";"0,0022617980486527856";"-2,306649806251698";"0,00038596452965716224";"0,0007847708421339746";"0,00000016558353353804288";1,8991270127999724";"-0,004598850910154217";"0,0022617980486527856";
"29";"0,9999668802937872";"0,9999336260827099";"0,0000000010987537238805044";"-0,000012154496014557";"-0,000027044616422245476";"-0,0009987274738702632";"0,000004592998752204282";"0,000002258919851535687";"0,000000013112820424120377";2,7785525699836295";"-0,000012000497057629289";"-0,000027120355894361126";
"30";"0,9999728411944006";"0,9999468895097104";"0,0000000008831367903113329";"-0,000536857829030124";"0,0002412766617165829";"-0,4904276249833418";"0,000005960900613288684";"0,000013263427000547332";"0,00000000021561693356917154";1,9338328491129206";"-0,000536857829030124";"0,0002412766617165829";
"31";"0,9999733780073148";"0,9999466482532345";"0,0000000007099070713453535";"-0,000010736989289007398";"-0,000021298577575164116";"-0,0009999163376076075";"0,0000005368129142197727";"0,0000002412564759338352";"0,00000000017322971896597938";2,823117440713014";"-0,000009857090241371935";"-0,000021694025109653126";
"32";"0,9999991365979655";"0,9999977446384904";"0,000000000028682838671688747";"0,00020969628772915527";"-0,00010571163719941268";"-2,399051536449053";"0,000025758590650630222";"0,000051096385255876815";"0,0000000006812242326736647";1,2523339101411533";"0,00020969628772915527";"-0,00010571163719941268";
"33";"0,9999989271685218";"0,9999978502156068";"0,0000000000011526669535865792";"-0,0000004931067651488736";"-0,0000008262934841670486";"-0,0009987274738702632";"0,0000002094294437237111";"0,00000010557711637885917";"0,00000000002753017171810217";2,8942347126252614";"-0,0000004966296340835896";"-0,0000008245175431298435";
