"epsilon";"function calls";"iterations";"x";"y";"f(x, y)";
"0,001";"649";"40";"1,000";"1,000";"0,000";
"0,0001";"1433";"59";"1,0000";"1,0000";"0,0000";
"0,00001";"1147";"33";"1,00000";"1,00000";"0,00000";
"0,000001";"1436";"33";"0,999999";"0,999998";"0,000000";
"0,0000001";"1382";"27";"0,9999999";"0,9999998";"0,0000000";
