"i";"xi";"yi";"f(x, y)";"si1";"si2";"lambdai";"|yi-y(i-1)|";"|yi-y(i-1)|";"|fi-f(i-1)|";angle((xi, yi), si)";"gi1";"gi2";
"0";"-0,1";"0,1";"1,133824953261003";"-0,5995532533013384";"-1,9398729377025092";"0";"0";"0";"0";2,056439047211069";"-0,5995532533013384";"-1,9398729377025092";
"1";"0,3030716731236506";"1,4041507594890008";"0,37637398335635236";"-0,1387667274785566";"0,032469175589296975";"-0,6722866916394912";"0,4030716731236506";"1,3041507594890007";"0,7574509699046506";1,5535262908711078";"-0,135827351813049";"0,04197961569759814";
"2";"1,160056684432252";"1,203630092069828";"0,31801529326330735";"-0,007938997883546807";"-0,03392968472177058";"-6,175724014541093";"0,8569850113086014";"0,2005206674191728";"0,05835869009304501";2,604475674679102";"-0,007938997883546807";"-0,03392968472177058";
"3";"1,1901584923920623";"1,3322791821203916";"0,31581938274050164";"-0,008604797655940789";"-0,000049963091625245676";"-3,791638239656778";"0,0301018079598103";"0,12864909005056369";"0,0021959105228057108";2,305717756733973";"-0,00814706836324325";"0,0019062801039212607";
"4";"1,2625326553970935";"1,3326994170965185";"0,31552571105703037";"0,0000023114260259411682";"-0,0003983080111127595";"-8,410908181561222";"0,0723741630050312";"0,00042023497612687184";"0,0002936716834712749";2,377421654901881";"0,0000023114260259411682";"-0,0003983080111127595";
"5";"1,2625232373715967";"1,3343223437929286";"0,3155253880283065";"-0,00005470058257708927";"-0,000007845695345889615";"-4,074551982713338";"0,000009418025496893798";"0,0016229266964101006";"0,00000032302872388090265";2,471011191475267";"-0,000054744246146110035";"-0,00000032153098174414084";
"6";"1,2630349942236654";"1,3343957449920263";"0,315525374008191";"0,0000000040845264399852055";"-0,00000005213088279290147";"-9,355601493779622";"0,000511756852068832";"0,00007340119909774472";"0,000000014020115512991538";2,305469539014143";"0,0000000040845264399852055";"-0,00000005213088279290147";
