"i";"xi";"yi";"f(x, y)";"si1";"si2";"lambdai";"|yi-y(i-1)|";"|yi-y(i-1)|";"|fi-f(i-1)|";angle((xi, yi), si)";"gi1";"gi2";
"0";"-0,1";"0,1";"2,02";"1,4000000000000001";"18";"0";"0";"0";"0";0,8630196721348419";"1,4000000000000001";"18";
"1";"-0,10682435955291639";"0,012258234319646469";"1,2251318683191745";"-2,1569782351449547";"0,43276678447444306";"-0,0048745425377974185";"0,006824359552916387";"0,08774176568035354";"0,7948681316808255";0,08375514344128268";"-2,1774655768701003";"0,16935810515114197";
"2";"0,06845974569801647";"-0,02291001047899808";"0,9439252913184298";"-1,107373988798191";"-5,519349452007033";"-0,08126373386384833";"0,17528410525093285";"0,03516824479864455";"0,2812065770007447";1,4458677534217181";"-1,107373988798191";"-5,519349452007033";
"3";"0,07455559388235179";"0,007472784020485859";"0,8568137831411127";"-2,0403089369841996";"-0,276721698693118";"-0,005504778192371144";"0,00609584818433533";"0,030382794499483938";"0,08711150817731717";3,106685244192673";"-1,9079759541659185";"0,3828494882671375";
"4";"0,22879099943410453";"0,0283913236834004";"0,6521427233202011";"0,6497656320959646";"-4,790799547731204";"-0,0755941430025443";"0,15423540555175272";"0,02091853966291454";"0,2046710598209116";1,559452767292393";"0,6497656320959646";"-4,790799547731204";
"5";"0,2258572604934205";"0,05002213100211472";"0,599394866651166";"-1,3986476965725285";"-0,6421424323556832";"-0,004515072505790417";"0,002933738940684021";"0,021630807318714324";"0,05274785666903503";2,929141680412792";"-1,4589028191118791";"-0,19787422309561625";
"6";"0,3736422904546732";"0,11787269754409109";"0,43956875726418065";"1,9958597358944083";"-4,3471727344246505";"-0,10566279866145628";"0,14778502996125267";"0,06785056654197637";"0,15982610938698538";1,4459746076694682";"1,9958597358944083";"-4,3471727344246505";
"7";"0,3669399702228729";"0,1324709898213829";"0,40123760799897734";"-0,8523151950763366";"-0,6411015824429303";"-0,003358111850879534";"0,006702320231800309";"0,014598292277291808";"0,038331149265203424";2,8431466698762873";"-0,9470361175895906";"-0,434790385155992";
"8";"0,5061081865354585";"0,23715170444335754";"0,2800055369936178";"2,8573818299473466";"-3,7987584069705926";"-0,16328257095090412";"0,1391682163125856";"0,10468071462197466";"0,12123207100535949";1,3640925569678386";"2,8573818299473466";"-3,7987584069705926";
"9";"0,49889425141893307";"0,2467423011161678";"0,25157058665033";"-0,5076255887043433";"-0,5169210417360078";"-0,002524666126493289";"0,007213935116525474";"0,009590596672810264";"0,0284349503432878";2,8064228899701664";"-0,5725292478123383";"-0,4306345965379599";
"10";"0,6267354439674231";"0,3769244745515346";"0,16452114065670717";"3,232700002590271";"-3,1745684347016634";"-0,2518415056159602";"0,12784119254848997";"0,1301821734353668";"0,08704944599362271";1,3177807060280828";"3,232700002590271";"-3,1745684347016634";
"11";"0,6203810313215506";"0,3831646198760287";"0,14440228919729844";"-0,2993023925028471";"-0,37704203774242784";"-0,001965667287648339";"0,006354412645872397";"0,006240145324494052";"0,020118851459408726";2,7950362221253204";"-0,3353925875304766";"-0,3416008295124229";
"12";"0,7348212983829139";"0,5273291590625759";"0,08627947125881176";"3,182894928186163";"-2,526636298915075";"-0,3823566731437825";"0,11444026706136322";"0,1441645391865472";"0,05812281793848666";1,2934193319513763";"3,182894928186163";"-2,526636298915075";
