"i";"xi";"yi";"f(x, y)";"si1";"si2";"lambdai";"|yi-y(i-1)|";"|yi-y(i-1)|";"|fi-f(i-1)|";angle((xi, yi), si)";"gi1";"gi2";
"0";"-0,1";"0,1";"2,02";"1,4000000000000001";"18";"0";"0";"0";"0";0,8630196721348419";"1,4000000000000001";"18";
"1";"-0,10651875000000001";"0,016187499999999994";"1,2267275199689782";"-1,9854406582839963";"1,242404435701716";"-0,004656250000000001";"0,006518750000000002";"0,08381250000000001";"0,7932724800310218";0,4083292463545219";"-2,0067636893073244";"0,9682511796874984";
"2";"-0,052652171645532535";"-0,017519916841914833";"1,1492538027689216";"-2,532675028769745";"-4,058433604181091";"-0,02713079241614001";"0,053866578354467474";"0,033707416841914827";"0,07747371720005658";0,6916548901047564";"-2,532675028769745";"-4,058433604181091";
"3";"-0,03707397228218254";"0,007443051983802584";"1,0792051812804118";"-2,582864269153169";"0,25432262696168095";"-0,0061508875739644964";"0,015578199363349999";"0,024962968825717417";"0,07004862148850988";0,09997936582657987";"-1,9841535081668007";"1,213714512604509";
"4";"0,12706395708710255";"-0,008718846215723722";"0,823839659054069";"-0,4821399451366192";"-4,972819081271352";"-0,06354880174291938";"0,1641379293692851";"0,016161898199526306";"0,2553655222263428";1,59893889526919";"-0,4821399451366192";"-4,972819081271352";
"5";"0,12974603883811772";"0,01894429898415929";"0,7577872784975073";"-1,919576940775452";"-0,2952861054814261";"-0,0055628698224852065";"0,0026820817510151717";"0,027663145199883013";"0,06605238055656171";3,133946418909424";"-1,850027300524022";"0,4220528779953874";
"6";"0,24303322812106376";"0,03637112476733661";"0,6245005717230189";"0,6922273379596213";"-4,538805040721681";"-0,059016748366013075";"0,11328718928294602";"0,017426825783177318";"0,1332867067744884";1,5680019364864524";"0,6922273379596213";"-4,538805040721681";
"7";"0,24009126193473537";"0,055661046190403754";"0,5778544270293876";"-1,2662003428810185";"-0,8109378289092526";"-0,00425";"0,002941966186328391";"0,019289921423067145";"0,046646144693631264";2,7997688610501963";"-1,3293993804049042";"-0,39655357340199066";
"8";"0,4691465051329432";"0,20235944401013167";"0,3132726425167248";"2,2671688147817255";"-3,547799853664607";"-0,18089968501906462";"0,22905524319820786";"0,1466983978197279";"0,264581784512663";1,409392354333471";"2,2671688147817255";"-3,547799853664607";
"9";"0,46273466832863863";"0,2123930654712769";"0,28895343312488275";"-0,6661847129085832";"-0,48388901413285934";"-0,002828125";"0,006411836804304567";"0,010033621461145217";"0,024319209391842067";2,943703737050859";"-0,7542613006081731";"-0,34606156038766156";
"10";"0,5174211059742734";"0,2521150312955145";"0,2572482553066734";"2,265530520943951";"-3,1219139224251458";"-0,08208900112233447";"0,05468643764563475";"0,039721965824237614";"0,03170517781820942";1,396436534190566";"2,265530520943951";"-3,1219139224251458";
"11";"0,5120971092500551";"0,2594515290132136";"0,23882871269219313";"-0,3315961984175402";"-0,6580357226605076";"-0,0023500000000000005";"0,005323996724218286";"0,007336497717699095";"0,018419542614480255";2,506523211910512";"-0,40391205778839967";"-0,5583840578098576";
"12";"0,5203790120543004";"0,27588654220939435";"0,23262936866472145";"-2,019196994648941";"1,018445204556928";"-0,02497586776859504";"0,008281902804245287";"0,016435013196180716";"0,006199344027471687";2,1869590596921635";"-2,019196994648941";"1,018445204556928";
"13";"0,5251241249917253";"0,27349319597868554";"0,22601882923008962";"-0,6443259215921756";"-0,36681739632832366";"-0,0023500000000000005";"0,004745112937425013";"0,0023933462307087817";"0,006610539434631829";3,104211139928967";"-0,4745877936189622";"-0,45243013392792797";
"14";"0,5389113620129227";"0,2813423267015034";"0,22085305605979363";"1,035823379646987";"-1,8166258810240032";"-0,021397923875432524";"0,013787237021197279";"0,007849130722817831";"0,005165773170295984";1,533720718236459";"1,035823379646987";"-1,8166258810240032";
"15";"0,5364771770707523";"0,2856113975219098";"0,21533580885654446";"-0,3608269156559842";"-0,6057066775770911";"-0,0023500000000000005";"0,0024341849421704196";"0,004269070820406408";"0,00551724720324917";2,597274394004351";"-0,45572598332378456";"-0,43927279917870266";
"16";"0,5534608602187988";"0,31412127260681927";"0,20548486805601815";"-2,6203961538010248";"1,5604697625372976";"-0,04706878121098626";"0,016983683148046512";"0,028509875084909497";"0,009850940800526314";2,0882582101283447";"-2,6203961538010248";"1,5604697625372976";
"17";"0,5596187911802312";"0,31045416866485664";"0,1946749175678359";"-0,37628629778731887";"-0,4817701482546174";"-0,0023500000000000005";"0,006157930961432409";"0,0036671039419626504";"0,010809950488182257";2,74036519472602";"-0,27211592173976107";"-0,5438045554333026";
"18";"0,7583552745846445";"0,5649021930451168";"0,0687972534173727";"2,610960672509179";"-2,0401058890469503";"-0,5281523259630925";"0,19873648340441333";"0,2544480243802601";"0,12587766415046314";1,3035045934308032";"2,610960672509179";"-2,0401058890469503";
"19";"0,7544388335758807";"0,5679623518786873";"0,06044805521184326";"-0,10655374861865892";"-0,2569736813946994";"-0,0015";"0,003916441008763769";"0,0030601588335704257";"0,008349198205529436";2,60917488144096";"-0,1242834727465727";"-0,24312034572964158";
"20";"0,7587666065400243";"0,5783995609422234";"0,05890793489715784";"-1,2936786559737299";"0,5345595483918997";"-0,04061586776859504";"0,004327772964143568";"0,010437209063536183";"0,0015401203146854156";2,0984315090877126";"-1,2936786559737299";"0,5345595483918997";
