"epsilon";"function calls";"iterations";"x";"y";"f(x, y)";
"0,001";"93";"6";"1,001";"1,001";"0,000";
"0,0001";"139";"5";"1,0000";"1,0000";"0,0000";
"0,00001";"387";"11";"1,00000";"1,00000";"0,00000";
"0,000001";"296";"7";"1,000000";"1,000000";"0,000000";
"0,0000001";"369";"7";"1,0000000";"1,0000000";"0,0000000";
