"i";"xi";"yi";"f(x, y)";"si1";"si2";"lambdai";"|yi-y(i-1)|";"|yi-y(i-1)|";"|fi-f(i-1)|";angle((xi, yi), si)";"gi1";"gi2";
"0";"-0,1";"0,1";"1,133824953261003";"-0,5995532533013384";"-1,9398729377025092";"0";"0";"0";"0";2,056439047211069";"-0,5995532533013384";"-1,9398729377025092";
"1";"0,3030720134172681";"1,404151860519436";"0,37637398335617595";"-0,1387666854483401";"0,03246946465312044";"-0,6722872592181268";"0,4030720134172681";"1,304151860519436";"0,7574509699048271";1,5535243185634195";"-0,13582730791374847";"0,041979910808900296";
"2";"1,1600557188752547";"1,2036296527376034";"0,3180153158353419";"-0,00793910157435263";"-0,03392980169932806";"-6,175716474665121";"0,8569837054579866";"0,20052220778183275";"0,05835866752083402";2,604478040776812";"-0,00793910157435263";"-0,03392980169932806";
"3";"1,1901579338817094";"1,3322792456813524";"0,315819387411908";"-0,008604873376682249";"-0,00004995407986269312";"-3,791639989051183";"0,030102215006454637";"0,12864959294374909";"0,0021959284234339127";2,305716401534754";"-0,008147133895854721";"0,001906313851587446";
"4";"1,262532641013714";"1,3326994043219094";"0,3155257110620854";"0,0000023102555187403783";"-0,0003983106511478404";"-8,410897402410104";"0,07237470713200458";"0,00042015864055691243";"0,0002936763498226358";2,377424632846473";"0,0000023102555187403783";"-0,0003983106511478404";
"5";"1,2625232277661598";"1,3343223402839166";"0,31552538802883345";"-0,00005470155780085247";"-0,000007846435297188071";"-4,07454823849257";"0,000009413247554351346";"0,0016229359620072617";"0,0000003230332519255086";2,4710219378288834";"-0,000054745200207620324";"-0,0000003220574453213257";
"6";"1,2630349928415876";"1,3343957482765432";"0,3155253740081908";"0,000000003816320918267904";"-0,000000051280004560589984";"-9,355585032716547";"0,0005117650754279345";"0,00007340799262655154";"0,00000001402064264688363";2,309376885688776";"0,000000003816320918267904";"-0,000000051280004560589984";
