"i";"xi";"yi";"f(x, y)";"si1";"si2";"lambdai";"|yi-y(i-1)|";"|yi-y(i-1)|";"|fi-f(i-1)|";"angle((xi, yi), si)";"gi1";"gi2";"etai11";"etai12";"etai21";"etai22";
"0";"3";"-3";"0,0003313786330857345";"671,1855766157057";"-9056,858251338987";"0";"0";"0";"0";"0,7114253932326264";"671,1855766157057";"-9056,858251338987";"1";"0";"0";"1";
"1";"2,463051538707435";"4,245486601071191";"1,9877327840056755";"671,1855766157057";"-9056,858251338987";"-0,0008000000000000001";"0,5369484612925647";"7,245486601071191";"3017,192988057172";"2,5419181301590363";"0,05177265732822889";"0,3133396038538194";"0,9945435860617788";"0,07363610868559552";"0,07363610868559552";"0,006256386749765586";
"2";"1,7919824760341299";"4,19353223497239";"2,091130860106759";"0,07456327340404569";"0,005772710767691389";"-8,999994662746316";"0,6710690626733055";"0,05195436609880069";"0,02487558175177179";"1,0896956330999834";"-0,02209936247818914";"0,28546387956122177";"1";"0";"0";"1";
"3";"1,8940381926142504";"2,8752489218173336";"3,033268260454866";"-0,02209936247818914";"0,28546387956122177";"-4,618038944826755";"0,10205571658012055";"1,3182833131550564";"0,14853274680219275";"0,6597555365905658";"-0,005275088951809233";"-0,00040543545932780756";"1,0244947655275116";"-0,2967066836552361";"-0,2967066836552361";"4,594027304601512";
"4";"1,9668255449275742";"2,8793459944026853";"3,035042384277911";"-0,005284005608247175";"-0,0002974274215279103";"-13,775033130116054";"0,07278735231332387";"0,004097072585351957";"0,0001927118171486386";"2,226305456742705";"0,000038178686050036915";"-0,0006786341687206046";"1";"0";"0";"1";
