"epsilon";"function calls";"iterations";"x";"y";"f(x, y)";
"0,001";"1329";"69";"1,000";"1,000";"0,000";
"0,0001";"873";"33";"1,0000";"1,0000";"0,0000";
"0,00001";"1058";"31";"1,00000";"1,00000";"0,00000";
"0,000001";"1381";"33";"1,000000";"1,000000";"0,000000";
"0,0000001";"2436";"49";"1,0000000";"1,0000000";"0,0000000";
