"epsilon";"function calls";"iterations";"x";"y";"f(x, y)";
"0,001";"106";"4";"1,000";"1,000";"0,000";
"0,0001";"121";"4";"1,0000";"1,0000";"0,0000";
"0,00001";"155";"4";"1,00000";"1,00000";"0,00000";
"0,000001";"184";"4";"1,000000";"1,000000";"0,000000";
"0,0000001";"220";"4";"1,0000000";"1,0000000";"0,0000000";
