"epsilon";"function calls";"iterations";"x";"y";"f(x, y)";
"0,001";"131";"4";"1,963";"2,878";"3,035";
"0,0001";"264";"6";"1,9672";"2,8861";"3,0351";
"0,00001";"311";"6";"1,96715";"2,88612";"3,03506";
"0,000001";"359";"6";"1,967151";"2,886115";"3,035064";
"0,0000001";"406";"6";"1,9671516";"2,8861154";"3,0350635";
