"epsilon";"function calls";"iterations";"x";"y";"f(x, y)";
"0,001";"108";"6";"1,000";"1,000";"0,000";
"0,0001";"139";"5";"1,0001";"1,0001";"0,0000";
"0,00001";"249";"7";"1,00000";"1,00000";"0,00000";
"0,000001";"216";"5";"1,000000";"1,000000";"0,000000";
"0,0000001";"153";"3";"1,0000000";"1,0000000";"0,0000000";
