"epsilon";"function calls";"iterations";"x";"y";"f(x, y)";
"0,001";"1832";"133";"1,000";"1,001";"0,000";
"0,0001";"1441";"68";"1,0000";"1,0000";"0,0000";
"0,00001";"2377";"79";"1,00001";"1,00001";"0,00000";
"0,000001";"1439";"35";"1,000000";"0,999999";"0,000000";
"0,0000001";"2527";"51";"0,9999999";"0,9999998";"0,0000000";
